jornada,homeTeam_fullName,homeTeam_abbName,awayeam_fullName,awayTeam_abbName
25,Coviran Granada,COV,Bàsquet Girona,GIR
25,Dreamland Gran Canaria,DGC,Recoletas Salud San Pablo Burgos,BUR
25,Joventut Badalona,JOV,UCAM Murcia,UCM
25,BAXI Manresa,BAX,Baskonia,BKN
25,Hiopos Lleida,HIO,La Laguna Tenerife,LLT
25,Real Madrid,RMB,MoraBanc Andorra,MBA
25,Valencia Basket,VBC,Río Breogán,BRE
25,Casademont Zaragoza,CAZ,Barça,BAR
26,Casademont Zaragoza,CAZ,Hiopos Lleida,HIO
26,Río Breogán,BRE,MoraBanc Andorra,MBA
26,La Laguna Tenerife,LLT,Bàsquet Girona,GIR
26,UCAM Murcia,UCM,Coviran Granada,COV
26,BAXI Manresa,BAX,Joventut Badalona,JOV
26,Unicaja,UNI,Valencia Basket,VBC
26,Barça,BAR,Surne Bilbao Basket,SBB
26,Baskonia,BKN,Dreamland Gran Canaria,DGC
26,Recoletas Salud San Pablo Burgos,BUR,Real Madrid,RMB
27,Joventut Badalona,JOV,Baskonia,BKN
27,MoraBanc Andorra,MBA,UCAM Murcia,UCM
27,Dreamland Gran Canaria,DGC,Casademont Zaragoza,CAZ
27,Surne Bilbao Basket,SBB,BAXI Manresa,BAX
27,Hiopos Lleida,HIO,Barça,BAR
27,Coviran Granada,COV,Unicaja,UNI
27,Recoletas Salud San Pablo Burgos,BUR,Río Breogán,BRE
27,Bàsquet Girona,GIR,Valencia Basket,VBC
27,Real Madrid,RMB,La Laguna Tenerife,LLT
28,Unicaja,UNI,Hiopos Lleida,HIO
28,BAXI Manresa,BAX,Recoletas Salud San Pablo Burgos,BUR
28,UCAM Murcia,UCM,La Laguna Tenerife,LLT
28,Dreamland Gran Canaria,DGC,Bàsquet Girona,GIR
28,Río Breogán,BRE,Joventut Badalona,JOV
28,Baskonia,BKN,Barça,BAR
28,Casademont Zaragoza,CAZ,Surne Bilbao Basket,SBB
28,Coviran Granada,COV,MoraBanc Andorra,MBA
28,Valencia Basket,VBC,Real Madrid,RMB
29,Joventut Badalona,JOV,Unicaja,UNI
29,Bàsquet Girona,GIR,Casademont Zaragoza,CAZ
29,La Laguna Tenerife,LLT,MoraBanc Andorra,MBA
29,Baskonia,BKN,Río Breogán,BRE
29,BAXI Manresa,BAX,Valencia Basket,VBC
29,Surne Bilbao Basket,SBB,Coviran Granada,COV
29,Real Madrid,RMB,UCAM Murcia,UCM
29,Recoletas Salud San Pablo Burgos,BUR,Hiopos Lleida,HIO
29,Barça,BAR,Dreamland Gran Canaria,DGC
30,UCAM Murcia,UCM,Bàsquet Girona,GIR
30,Barça,BAR,Recoletas Salud San Pablo Burgos,BUR
30,La Laguna Tenerife,LLT,Joventut Badalona,JOV
30,Casademont Zaragoza,CAZ,Coviran Granada,COV
30,Hiopos Lleida,HIO,Surne Bilbao Basket,SBB
30,MoraBanc Andorra,MBA,BAXI Manresa,BAX
30,Real Madrid,RMB,Río Breogán,BRE
30,Unicaja,UNI,Dreamland Gran Canaria,DGC
30,Valencia Basket,VBC,Baskonia,BKN
31,Bàsquet Girona,GIR,BAXI Manresa,BAX
31,Río Breogán,BRE,Hiopos Lleida,HIO
31,Casademont Zaragoza,CAZ,Valencia Basket,VBC
31,Coviran Granada,COV,Barça,BAR
31,Recoletas Salud San Pablo Burgos,BUR,Unicaja,UNI
31,Joventut Badalona,JOV,MoraBanc Andorra,MBA
31,Surne Bilbao Basket,SBB,Real Madrid,RMB
31,Dreamland Gran Canaria,DGC,La Laguna Tenerife,LLT
31,Baskonia,BKN,UCAM Murcia,UCM
32,Río Breogán,BRE,Bàsquet Girona,GIR
32,BAXI Manresa,BAX,Casademont Zaragoza,CAZ
32,Hiopos Lleida,HIO,Dreamland Gran Canaria,DGC
32,UCAM Murcia,UCM,Unicaja,UNI
32,Valencia Basket,VBC,Surne Bilbao Basket,SBB
32,Real Madrid,RMB,Joventut Badalona,JOV
32,Baskonia,BKN,Coviran Granada,COV
32,MoraBanc Andorra,MBA,Recoletas Salud San Pablo Burgos,BUR
32,La Laguna Tenerife,LLT,Barça,BAR
33,Unicaja,UNI,Río Breogán,BRE
33,Barça,BAR,Valencia Basket,VBC
33,Dreamland Gran Canaria,DGC,BAXI Manresa,BAX
33,Coviran Granada,COV,La Laguna Tenerife,LLT
33,Surne Bilbao Basket,SBB,Bàsquet Girona,GIR
33,Hiopos Lleida,HIO,MoraBanc Andorra,MBA
33,Casademont Zaragoza,CAZ,UCAM Murcia,UCM
33,Joventut Badalona,JOV,Recoletas Salud San Pablo Burgos,BUR
33,Real Madrid,RMB,Baskonia,BKN
34,Bàsquet Girona,GIR,Joventut Badalona,JOV
34,Baskonia,BKN,Unicaja,UNI
34,BAXI Manresa,BAX,Real Madrid,RMB
34,La Laguna Tenerife,LLT,Surne Bilbao Basket,SBB
34,MoraBanc Andorra,MBA,Barça,BAR
34,Río Breogán,BRE,Casademont Zaragoza,CAZ
34,Recoletas Salud San Pablo Burgos,BUR,Coviran Granada,COV
34,UCAM Murcia,UCM,Hiopos Lleida,HIO
34,Valencia Basket,VBC,Dreamland Gran Canaria,DGC
